end_time,exact_times,headway_secs,start_time,trip_id
07:00:00,1,786,06:00:00,Route_1_trip_00
07:00:00,1,786,06:00:00,Route_10_trip_00
07:00:00,1,786,06:00:00,Route_100_trip_00
07:00:00,1,786,06:00:00,Route_100A_trip_00
07:00:00,1,786,06:00:00,Route_101_trip_00
07:00:00,1,786,06:00:00,Route_101A_trip_00
07:00:00,1,786,06:00:00,Route_102_trip_00
07:00:00,1,786,06:00:00,Route_103_trip_00
07:00:00,1,786,06:00:00,Route_103A_trip_00
07:00:00,1,786,06:00:00,Route_103B_trip_00
07:00:00,1,786,06:00:00,Route_104_trip_00
07:00:00,1,786,06:00:00,Route_104A_trip_00
07:00:00,1,786,06:00:00,Route_105_trip_00
07:00:00,1,786,06:00:00,Route_105A_trip_00
07:00:00,1,786,06:00:00,Route_106_trip_00
07:00:00,1,786,06:00:00,Route_106A_trip_00
07:00:00,1,786,06:00:00,Route_107_trip_00
07:00:00,1,786,06:00:00,Route_107A_trip_00
07:00:00,1,786,06:00:00,Route_108_trip_00
07:00:00,1,786,06:00:00,Route_108A_trip_00
07:00:00,1,786,06:00:00,Route_109_trip_00
07:00:00,1,786,06:00:00,Route_109A_trip_00
07:00:00,1,786,06:00:00,Route_110_trip_00
07:00:00,1,786,06:00:00,Route_111A_trip_00
07:00:00,1,786,06:00:00,Route_112_trip_00
07:00:00,1,786,06:00:00,Route_113_trip_00
07:00:00,1,786,06:00:00,Route_114_trip_00
07:00:00,1,786,06:00:00,Route_114A_trip_00
07:00:00,1,786,06:00:00,Route_115_trip_00
07:00:00,1,786,06:00:00,Route_116_trip_00
07:00:00,1,786,06:00:00,Route_117_trip_00
07:00:00,1,786,06:00:00,Route_118_trip_00
07:00:00,1,786,06:00:00,Route_119_trip_00
07:00:00,1,786,06:00:00,Route_11_A_trip_00
07:00:00,1,786,06:00:00,Route_11_B_trip_00
07:00:00,1,786,06:00:00,Route_12_trip_00
07:00:00,1,786,06:00:00,Route_120_trip_00
07:00:00,1,786,06:00:00,Route_13_trip_00
07:00:00,1,786,06:00:00,Route_14_trip_00
07:00:00,1,786,06:00:00,Route_15_trip_00
07:00:00,1,786,06:00:00,Route_16_trip_00
07:00:00,1,786,06:00:00,Route_17_trip_00
07:00:00,1,786,06:00:00,Route_18_trip_00
07:00:00,1,786,06:00:00,Route_19_trip_00
07:00:00,1,786,06:00:00,Route_2_trip_00
07:00:00,1,786,06:00:00,Route_20_trip_00
07:00:00,1,786,06:00:00,Route_21_trip_00
07:00:00,1,786,06:00:00,Route_22_trip_00
07:00:00,1,786,06:00:00,Route_23_trip_00
07:00:00,1,786,06:00:00,Route_24_trip_00
07:00:00,1,786,06:00:00,Route_25_trip_00
07:00:00,1,786,06:00:00,Route_26_trip_00
07:00:00,1,786,06:00:00,Route_27_trip_00
07:00:00,1,786,06:00:00,Route_28_trip_00
07:00:00,1,786,06:00:00,Route_29_trip_00
07:00:00,1,786,06:00:00,Route_3_trip_00
07:00:00,1,786,06:00:00,Route_30_trip_00
07:00:00,1,786,06:00:00,Route_31_trip_00
07:00:00,1,786,06:00:00,Route_32_trip_00
07:00:00,1,786,06:00:00,Route_33_trip_00
07:00:00,1,786,06:00:00,Route_34_trip_00
07:00:00,1,786,06:00:00,Route_35_trip_00
07:00:00,1,786,06:00:00,Route_36_trip_00
07:00:00,1,786,06:00:00,Route_37_trip_00
07:00:00,1,786,06:00:00,Route_38_trip_00
07:00:00,1,786,06:00:00,Route_39_trip_00
07:00:00,1,786,06:00:00,Route_4_trip_00
07:00:00,1,786,06:00:00,Route_40_trip_00
07:00:00,1,786,06:00:00,Route_41_trip_00
07:00:00,1,786,06:00:00,Route_42_trip_00
07:00:00,1,786,06:00:00,Route_43_trip_00
07:00:00,1,786,06:00:00,Route_44_trip_00
07:00:00,1,786,06:00:00,Route_45_trip_00
07:00:00,1,786,06:00:00,Route_46_trip_00
07:00:00,1,786,06:00:00,Route_47_trip_00
07:00:00,1,786,06:00:00,Route_48_trip_00
07:00:00,1,786,06:00:00,Route_49_trip_00
07:00:00,1,786,06:00:00,Route_5_trip_00
07:00:00,1,786,06:00:00,Route_50_trip_00
07:00:00,1,786,06:00:00,Route_51_trip_00
07:00:00,1,786,06:00:00,Route_52_trip_00
07:00:00,1,786,06:00:00,Route_53_trip_00
07:00:00,1,786,06:00:00,Route_54_trip_00
07:00:00,1,786,06:00:00,Route_55_trip_00
07:00:00,1,786,06:00:00,Route_56_trip_00
07:00:00,1,786,06:00:00,Route_57_trip_00
07:00:00,1,786,06:00:00,Route_58_trip_00
07:00:00,1,786,06:00:00,Route_59_trip_00
07:00:00,1,786,06:00:00,Route_6_trip_00
07:00:00,1,786,06:00:00,Route_60_trip_00
07:00:00,1,786,06:00:00,Route_61_trip_00
07:00:00,1,786,06:00:00,Route_62_trip_00
07:00:00,1,786,06:00:00,Route_63_trip_00
07:00:00,1,786,06:00:00,Route_64_trip_00
07:00:00,1,786,06:00:00,Route_65_trip_00
